"BBL_SPECIES_ID","BBL_SPECIES_NAME","BBL_SCI_NAME","EBIRD_SPECIES_CODE","EBIRD_PRIMARY_COM_NAME","EBIRD_SCI_NAME","EBIRD_CATEGORY","EBIRDST_CODE"
4531,"Nutting's Flycatcher","Myiarchus nuttingi","nutfly","Nutting's Flycatcher","Myiarchus nuttingi","species","nutfly"
4520,"Great Crested Flycatcher","Myiarchus crinitus","grcfly","Great Crested Flycatcher","Myiarchus crinitus","species","grcfly"
4530,"Brown-crested Flycatcher","Myiarchus tyrannulus","bncfly","Brown-crested Flycatcher","Myiarchus tyrannulus","species","bncfly"
4551,"La Sagra's Flycatcher","Myiarchus sagrae","lasfly","La Sagra's Flycatcher","Myiarchus sagrae","species","lasfly"
4553,"Stolid Flycatcher","Myiarchus stolidus","stofly1","Stolid Flycatcher","Myiarchus stolidus","species",NA
4552,"Puerto Rican Flycatcher","Myiarchus antillarum","purfly1","Puerto Rican Flycatcher","Myiarchus antillarum","species","purfly1"
4554,"Lesser Antillean Flycatcher","Myiarchus oberi","leafly1","Lesser Antillean Flycatcher","Myiarchus oberi","species",NA
4490,"Great Kiskadee","Pitangus sulphuratus","grekis","Great Kiskadee","Pitangus sulphuratus","species","grekis"
4510,"Sulphur-bellied Flycatcher","Myiodynastes luteiventris","subfly","Sulphur-bellied Flycatcher","Myiodynastes luteiventris","species","subfly"
4460,"Tropical Kingbird","Tyrannus melancholicus","trokin","Tropical Kingbird","Tyrannus melancholicus","species","trokin"
4461,"Couch's Kingbird","Tyrannus couchii","coukin","Couch's Kingbird","Tyrannus couchii","species","coukin"
4480,"Cassin's Kingbird","Tyrannus vociferans","caskin","Cassin's Kingbird","Tyrannus vociferans","species","caskin"
4451,"Thick-billed Kingbird","Tyrannus crassirostris","thbkin","Thick-billed Kingbird","Tyrannus crassirostris","species","thbkin"
4470,"Western Kingbird","Tyrannus verticalis","weskin","Western Kingbird","Tyrannus verticalis","species","weskin"
4440,"Eastern Kingbird","Tyrannus tyrannus","easkin","Eastern Kingbird","Tyrannus tyrannus","species","easkin"
4450,"Gray Kingbird","Tyrannus dominicensis","grykin","Gray Kingbird","Tyrannus dominicensis","species","grykin"
4452,"Loggerhead Kingbird","Tyrannus caudifasciatus","logkin","Loggerhead Kingbird","Tyrannus caudifasciatus","species","logkin"
4430,"Scissor-tailed Flycatcher","Tyrannus forficatus","sctfly","Scissor-tailed Flycatcher","Tyrannus forficatus","species","sctfly"
4420,"Fork-tailed Flycatcher","Tyrannus savana","fotfly","Fork-tailed Flycatcher","Tyrannus savana","species","fotfly"
4590,"Olive-sided Flycatcher","Contopus cooperi","olsfly","Olive-sided Flycatcher","Contopus cooperi","species","olsfly"
4600,"Greater Pewee","Contopus pertinax","grepew","Greater Pewee","Contopus pertinax","species","grepew"
4620,"Western Wood-Pewee","Contopus sordidulus","wewpew","Western Wood-Pewee","Contopus sordidulus","species","wewpew"
